"09290: Svevestøv, organiske miljøgifter fra norsk økonomisk aktivitet, etter statistikkvariabel, næring, komponent og år",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,Svevestøv - PM10,3,3,2,4,2,7,6,5,2,2,4,5,3,6,10,13,12,2,3,4,4,5,2,2
,,"Svevestøv - PM2,5",2,2,1,2,1,4,4,3,2,2,4,4,3,5,10,13,12,2,3,3,4,5,2,2
,,PAH-4,0,0,0,0,0,2,2,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0
,,Dioksin,1,2,1,1,1,9,6,6,1,1,2,2,1,2,4,5,5,1,1,1,2,2,1,1
,Produksjon av andre ikke-metallholdige mineralprodukter,Svevestøv - TSP,397,429,414,346,307,354,391,298,266,242,248,242,224,219,241,219,223,282,265,247,208,221,267,196
,,Svevestøv - PM10,356,386,373,309,276,322,367,277,234,204,200,197,182,177,201,176,181,241,223,207,176,189,221,162
,,"Svevestøv - PM2,5",244,266,256,203,193,207,244,197,158,133,137,133,126,121,127,122,132,163,155,151,126,142,161,120
,,PAH-4,836,785,771,341,279,323,269,211,176,124,138,142,138,152,157,141,67,68,80,85,85,174,101,100
,,Dioksin,246,244,356,307,141,139,143,153,248,366,1143,327,678,538,671,234,379,594,1346,468,338,556,642,1110
,Produksjon av metaller,Svevestøv - TSP,6445,5461,4984,3924,4284,3613,2718,3496,2770,1762,1812,2222,2211,2489,2400,2178,1855,1882,1926,1828,1746,1734,1627,1402
